Id,Label,name,gender,birth_date,attribute,at_cortona,cortona,[z],modularity_class,X,Y,Size,Color
2033,,Centre national de la recherche scientifique (CNRS),,,organization,,,2,88,-177.13858,38.841869,10,"#00d8ff"
2034,,University of Chile,,,organization,,,2,88,-261.804749,100.188927,10,"#00d8ff"
2035,,Mind and Life Institute,,,organization,,,2,88,-237.252411,54.552181,10,"#00d8ff"
2036,,Amherst College,,,organization,,,2,88,-165.550674,202.152359,10,"#00d8ff"
2037,,George Mason University,,,organization,,,2,120,1136.68103,740.645569,10,"#c0c0c0"
2038,,Universität Fribourg,,,organization,,,2,118,22.913191,-235.529678,10,"#006c7e"
2039,,Jesuitenorden,,,organization,,,2,94,334.688568,-238.966919,10,"#854e1e"
2040,,Universität St. Gallen,,,organization,,,2,94,286.770233,-219.312729,10,"#854e1e"
2041,,New Camaldoli Hermitage,,,organization,,,2,33,-26.367039,211.053284,10,"#c5ae00"
2042,,Fordham University,,,organization,,,2,33,-63.040272,278.367584,10,"#c5ae00"
2043,,Pontifical Council for Interreligious Dialogue,,,organization,,,2,33,-48.217403,257.831573,10,"#c5ae00"
2044,,Athenaeum Anselmianum,,,organization,,,2,33,-76.123497,258.509888,10,"#c5ae00"
2045,,Esalen Institut,,,organization,,,2,137,-99.435295,153.439148,10,"#37d911"
2046,,Schweizerische Akademie der Geistes- und Sozialwissenschaften,,,organization,,,2,60,88.097694,-244.209549,10,"#00cca6"
2047,,diehasena,,,organization,,,2,61,15.643155,-74.180428,10,"#ff7f1a"
2048,,AGU (Arbeitsgemeinschaft Umwelt),,,organization,,,2,61,-6.421555,-110.614761,10,"#ff7f1a"
2049,,Indian Administrative Service,,,organization,,,2,42,-1278.390747,829.951538,10,"#c0c0c0"
2050,,"Komission für interdiziplinäre Veranstaltungen, ETH Zürich",,,organization,,,2,61,46.959457,-5.527184,10,"#ff7f1a"
2051,,Costeau Society,,,organization,,,2,88,-171.669739,259.830017,10,"#00d8ff"
2052,,Futures Research Quarterly,,,organization,,,2,88,-153.752487,273.362518,10,"#00d8ff"
2053,,U.S. Congres office of Technology Assessment,,,organization,,,2,88,-153.082275,247.018555,10,"#00d8ff"
2054,,National Academy of Engineering,,,organization,,,2,88,-207.534286,250.685471,10,"#00d8ff"
2055,,National Science Foundation,,,organization,,,2,88,-205.570938,228.020966,10,"#00d8ff"
2056,,Zoologisches Museum der Universität Zürich,,,organization,,,2,88,-264.085938,193.891159,10,"#00d8ff"
2057,,International Institute for Bioenergetic Analysis,,,organization,,,2,137,8.391869,129.575531,10,"#37d911"
2058,,Buddhists concerned for Animals,,,organization,,,2,33,37.014221,172.724976,10,"#c5ae00"
2059,,Center for Spiritual Studies,,,organization,,,2,121,308.798737,-1302.743896,10,"#c0c0c0"
2060,,Kabir Universität,,,organization,,,2,88,-189.331894,206.681015,10,"#00d8ff"
2061,,Universität Bern,,,organization,,,2,60,116.074821,-295.792755,10,"#00cca6"
2062,,Das Forschungs- und Ausbildungszentrum für Tiefenpsychologie nach C.G. Jung und M.-L. von Franz,,,organization,,,2,61,208.94101,-76.435547,10,"#ff7f1a"
2063,,Evangelischen Studienzentrum Boldern,,,organization,,,2,75,537.939758,1425.372925,10,"#c0c0c0"
2064,,Lund Universität,,,organization,,,2,61,83.736305,-160.927139,10,"#ff7f1a"
2065,,"Institut für Astronomie, ETH Zürich",,,organization,,,2,61,43.818405,-189.493759,10,"#ff7f1a"
2066,,Institut für theoretische Physik der Universität Wien,,,organization,,,2,61,165.111649,17.332924,10,"#ff7f1a"
2067,,Albert-Ludwigs-Universität Freiburg,,,organization,,,2,86,-783.332642,-1332.974365,10,"#c0c0c0"
2068,,C. G. Jung Institut,,,organization,,,2,18,267.289642,-25.701864,10,"#fab1b7"
2069,,F. Hoffmann-La-Roche & Co. Ag,,,organization,,,2,60,101.382935,-391.144409,10,"#00cca6"
2070,,Givaudan Forschungsgesellschaft,,,organization,,,2,60,111.174042,-448.981567,10,"#00cca6"
2071,,Universität Venedig,,,organization,,,2,18,329.881622,-54.36911,10,"#fab1b7"
2072,,Tagesklinik für Kinder- und Jugendpsychiatrie,,,organization,,,2,106,193.860199,-231.786392,10,"#ff7cff"
2073,,Interspecies Communication,,,organization,,,2,87,1449.639404,675.438232,10,"#c0c0c0"
2074,,Schweizerisches Zentrum für Computermusik (SZCM),,,organization,,,2,78,-1096.651123,-918.89502,10,"#814172"
2075,,Tibet-Institut Rikon,,,organization,,,2,79,783.62384,1361.469482,10,"#c0c0c0"
2076,,University of Colorado,,,organization,,,2,88,-307.114502,134.984695,10,"#00d8ff"
2077,,The Times,,,organization,,,2,122,-1040.008667,1242.562378,10,"#c0c0c0"
2078,,Neue Analysen für Wirtschaft und Umwelt (NAWU),,,organization,,,2,94,307.636993,-267.039978,10,"#854e1e"
2079,,"Institut für Kristallographie und Petrographie, ETHZ",,,organization,,,2,123,1602.857056,-77.300491,10,"#c0c0c0"
2080,,Interdisziplinäre Vorlesungreihe der Universität Zürich,,,organization,,,2,106,182.226761,-257.659821,10,"#ff7cff"
2081,,Schauspiel Akademie Zürich,,,organization,,,2,55,-540.146851,1493.922119,10,"#c0c0c0"
2082,,Umweltzentrum für Ökologicshe Strukturforschung Schloss Türnich,,,organization,,,2,124,-238.187973,1549.650879,10,"#c0c0c0"
2083,,Dianus-Trikont-Verlag,,,organization,,,2,118,42.458652,-247.986267,10,"#006c7e"
2084,,"Department of Pathology, University of New South Wales",,,organization,,,2,91,-1086.343506,-1165.113159,10,"#aad096"
2085,,Bristol University,,,organization,,,2,91,-1060.198364,-1189.565918,10,"#aad096"
2086,,King's College London,,,organization,,,2,91,-1102.430664,-1207.19043,10,"#aad096"
2087,,"Geographisches Institut, ETHZ",,,organization,,,2,94,360.970764,-286.93631,10,"#854e1e"
2088,,Wissenschaft-Departement der Europäischnen Weltraum-Organisation (ESA),,,organization,,,2,118,64.776375,-260.249664,10,"#006c7e"
2089,,Hida Global Institute of Human Art,,,organization,,,2,90,-309.322388,-1526.700073,10,"#c0c0c0"
2090,,Hebräische Universität,,,organization,,,2,82,-1439.168701,451.45871,10,"#c0c0c0"
2091,,Weizmann-Institut,,,organization,,,2,82,-1451.897217,406.232178,10,"#c0c0c0"
2092,,Freie Universität Berlin,,,organization,,,2,18,220.634567,19.679531,10,"#fab1b7"
2093,,C. G. Jung-Institut Berlin,,,organization,,,2,18,231.817123,-16.615795,10,"#fab1b7"
2094,,Kinder- und Jugendpschiatrischen Beratungstelle,,,organization,,,2,18,239.901459,6.382823,10,"#fab1b7"
2095,,Universität Salzburg,,,organization,,,2,88,-381.617981,97.353683,10,"#00d8ff"
2096,,Forschungsstelle für Ökopychologie der frühen Kindheit,,,organization,,,2,88,-379.608734,122.378761,10,"#00d8ff"
2097,,University of Texas at Austin,,,organization,,,2,18,329.962891,-1.655095,10,"#fab1b7"
2098,,Shogen-dojo,,,organization,,,2,18,231.458725,-56.353302,10,"#fab1b7"
2099,,Balaton Group,,,organization,,,2,94,342.691986,-336.070801,10,"#854e1e"
2100,,Eawag,,,organization,,,2,94,362.651917,-320.384399,10,"#854e1e"
2101,,Mitsubishi Research Institute,,,organization,,,2,125,-1518.062256,-242.46405,10,"#c0c0c0"
2102,,Zen Meditiation and Study Center,,,organization,,,2,126,-1177.357422,-807.045288,10,"#c0c0c0"
2103,,San Francisco Zen Center,,,organization,,,2,137,-121.583984,213.337952,10,"#37d911"
2104,,Green Gulch Zen Practice Community and Farm,,,organization,,,2,137,-93.950516,227.077286,10,"#37d911"
2105,,Dharma Sangha Western Zen Center,,,organization,,,2,137,-77.97744,208.911346,10,"#37d911"
2106,,Santa Fe Zen Center,,,organization,,,2,137,-100.685265,205.361588,10,"#37d911"
2107,,Colorado Zen Mountain Retreat,,,organization,,,2,137,-119.307266,189.220856,10,"#37d911"
2108,,Max-Planck-Institut für Phyik,,,organization,,,2,134,105.365036,146.671661,10,"#187122"
2109,,Doshisha University,,,organization,,,2,106,220.441147,-223.63649,10,"#ff7cff"
2110,,Meditations- und Therapiezentrum von Prof. K. Dürckheim,,,organization,,,2,18,407.12973,-33.409706,10,"#fab1b7"
2111,,Universität Bonn,,,organization,,,2,127,27.154699,-1487.149902,10,"#c0c0c0"
2112,,Die Grünen,,,organization,,,2,127,64.089119,-1505.59082,10,"#c0c0c0"
2113,,Öko-Institut,,,organization,,,2,127,28.780609,-1528.774902,10,"#c0c0c0"
2114,,Sapienza Universita di Roma,,,organization,,,2,128,101.525269,1609.171631,10,"#c0c0c0"
2115,,Istituto Nazionale di Geofisica (ING),,,organization,,,2,128,64.705704,1596.305786,10,"#c0c0c0"
2116,,Alusuisse-Lonza Services AG,,,organization,,,2,0,-53.321499,-113.253281,10,"#72adff"
2117,,INSEAD,,,organization,,,2,118,-34.014694,-140.70697,10,"#006c7e"
2118,,Universität Heidelberg,,,organization,,,2,129,-31.776152,-225.149689,10,"#c0c0c0"
2119,,Pädagogische Hochschule Berlin,,,organization,,,2,129,-67.338074,-299.325714,10,"#c0c0c0"
2120,,TU Berlin,,,organization,,,2,129,-87.843636,-285.024872,10,"#c0c0c0"
2121,,Universität Marburg,,,organization,,,2,106,236.954239,-151.61026,10,"#ff7cff"
2122,,Albert Einstein College of Medicine,,,organization,,,2,88,-278.491272,-13.97048,10,"#00d8ff"
2123,,Karolinske Institut,,,organization,,,2,130,-1281.782959,1189.536743,10,"#c0c0c0"
2124,,The Natural Step,,,organization,,,2,130,-1246.417114,1157.583984,10,"#c0c0c0"
2125,,Wien Barock,,,organization,,,2,131,1184.828003,-993.355469,10,"#c0c0c0"
2126,,Wiener Musikhochschule,,,organization,,,2,131,1154.681763,-1029.41687,10,"#c0c0c0"
2127,,Groupe de Recherches Musicales (GRM),,,organization,,,2,78,-1126.659912,-947.835327,10,"#814172"
2128,,Institut de recherche et coordination acoustique/musique (IRCAM),,,organization,,,2,78,-1087.893921,-962.806152,10,"#814172"
2129,,EPFL,,,organization,,,2,134,3.003574,-31.787794,10,"#187122"
2130,,Boston University,,,organization,,,2,0,-227.545883,-27.591684,10,"#72adff"
2131,,Universität Stuttgart,,,organization,,,2,118,-65.812828,-213.70076,10,"#006c7e"
2132,,Verein gegen Tierfabriken Schweiz,,,organization,,,2,33,72.445786,91.172226,10,"#c5ae00"
2133,,Verein gegen Tierfabriken Österreich,,,organization,,,2,33,56.142883,107.714767,10,"#c5ae00"
2134,,Nationale Aktion gegn die Überfremdung von Volk und Heimat,,,organization,,,2,33,35.016594,96.855324,10,"#c5ae00"
2135,,The Human Farming Association,,,organization,,,2,33,19.683065,189.828445,10,"#c5ae00"
2136,,Schweizerische Gesellschaft für Individualpsycyhologie (SGIPA),,,organization,,,2,106,154.382004,-108.665932,10,"#ff7cff"
2137,,Universität Florenz,,,organization,,,2,0,-135.059937,-127.477165,10,"#72adff"
2138,,Universität Bari,,,organization,,,2,0,-175.778625,-118.34523,10,"#72adff"
2139,,Unione Scienziati per il Disarmo,,,organization,,,2,0,-170.117142,-95.267288,10,"#72adff"
2140,,Interdepartmental Reesarch on Peace Center of Bari,,,organization,,,2,0,-157.9953,-133.423737,10,"#72adff"
2141,,Universität Mohammed V,,,organization,,,2,132,588.770935,1213.292358,10,"#c0c0c0"
2142,,UNESCO,,,organization,,,2,136,507.404785,209.555496,10,"#ff5684"
2143,,Brandeis Universität,,,organization,,,2,136,457.01059,196.846527,10,"#ff5684"
2144,,Hochschulbeirat der Vereinten Nationen,,,organization,,,2,136,494.675812,232.848419,10,"#ff5684"
2146,,Yale University,,,organization,,,2,88,-128.312943,271.163055,10,"#00d8ff"
2147,,Stanford Research Institute,,,organization,,,2,88,-104.336075,272.562927,10,"#00d8ff"
2148,,Global Business Network (GBN),,,organization,,,2,88,-148.087433,221.544418,10,"#00d8ff"
2149,,Internationale Gesellschaft für Tiefenpsychologie,,,organization,,,2,18,295.548676,35.656334,10,"#fab1b7"
2150,,Müncher Arbeitsgemeinschaft für Psychoanalyse,,,organization,,,2,18,330.667419,27.207003,10,"#fab1b7"
2151,,Union Theological Seminary New York,,,organization,,,2,61,261.349701,-119.685982,10,"#ff7f1a"
2152,,Psychoanalitisches Seminar Luzern,,,organization,,,2,18,311.352631,-74.391426,10,"#fab1b7"
2153,,Universität Neuenburg,,,organization,,,2,61,70.466034,17.155298,10,"#ff7f1a"
2154,,Universität Mainz,,,organization,,,2,60,148.730972,-301.219513,10,"#00cca6"
2155,,Universität Bielefeld,,,organization,,,2,60,170.94606,-291.13681,10,"#00cca6"
2156,,Nationale Forschungsprogramm der Schweiz für Künstliche Intelligenz und Robotik,,,organization,,,2,61,-4.494648,-186.639526,10,"#ff7f1a"
2157,,Eidgenössisches Department für Auwärtiges,,,organization,,,2,106,141.027328,-225.108292,10,"#ff7cff"
2158,,Schweizerisch Staatliche Entwicklungshilfe,,,organization,,,2,106,112.273712,-233.417755,10,"#ff7cff"
2159,,International Center for Integrated Mountain Development (ICIMOD),,,organization,,,2,106,133.103531,-246.474518,10,"#ff7cff"
2160,,Nationala Autonomous University of Mexico,,,organization,,,2,0,-175.486328,-29.150833,10,"#72adff"
2161,,IBM Research Laboratory,,,organization,,,2,61,105.123756,-107.001389,10,"#ff7f1a"
2162,,OHO,,,organization,,,2,133,245.45932,-1596.882935,10,"#c0c0c0"
2163,,Sempas-Familie,,,organization,,,2,133,204.103104,-1619.193237,10,"#c0c0c0"
2164,,Rochester University,,,organization,,,2,134,182.829987,215.723663,10,"#187122"
2165,,Universität Turin,,,organization,,,2,134,183.939163,239.594116,10,"#187122"
2166,,Europäisches Parlament,,,organization,,,2,134,164.841827,253.287231,10,"#187122"
2167,,Comitato Italiano per il Controllo delle Affermazioni sulle Pseudoscienze (CICAP),,,organization,,,2,134,142.839203,243.852127,10,"#187122"
2168,,Schule für Tanz- und Bewegungstherapie,,,organization,,,2,135,-32.904587,-1674.506226,10,"#c0c0c0"
2169,,Ludwig-Maximilians-Universität München,,,organization,,,2,61,112.276001,67.27919,10,"#ff7f1a"
2170,,Institut für Grenzgebiete der Psychologie e. V.,,,organization,,,2,61,88.180992,71.308189,10,"#ff7f1a"
2171,,Santa Fe Institute,,,organization,,,2,61,134.05307,55.309555,10,"#ff7f1a"
2172,,Universität Regensburg,,,organization,,,2,106,120.151749,-183.073349,10,"#ff7cff"
2173,,"Cohn Institut for the History and PHilosophy of Science and Ideas, Tel Aviv University",,,organization,,,2,136,426.634827,180.841751,10,"#ff5684"
2174,,Van Leer Jerusalem Institute,,,organization,,,2,136,404.334686,192.81604,10,"#ff5684"
2175,,Wissenschaftskolleg Berlin,,,organization,,,2,136,427.346008,155.483398,10,"#ff5684"
2176,,Collegium Budapest,,,organization,,,2,136,307.042755,109.797569,10,"#ff5684"
2177,,Columbia University,,,organization,,,2,106,203.6754,65.345467,10,"#ff7cff"
2178,,Collegium Helveticum,,,organization,,,2,106,196.00061,-29.010695,10,"#ff7cff"
2179,,Branco Weiss Fellowship,,,organization,,,2,106,226.822754,68.099243,10,"#ff7cff"
2180,,European Research Council (ERC),,,organization,,,2,106,221.162582,45.05806,10,"#ff7cff"
2181,,International Transpersonal Association (ITA),,,organization,,,2,137,-115.321312,62.244694,10,"#37d911"
2182,,HELVETAS,,,organization,,,2,106,111.640419,-256.266907,10,"#ff7cff"
2183,,Institut für Kommunikation und Gehirnforschung,,,organization,,,2,138,-1431.901611,-692.732422,10,"#c0c0c0"
2184,,Union Institute & University,,,organization,,,2,88,-147.31163,105.869194,10,"#00d8ff"
2185,,California Institute of Integral Studies (CIIS),,,organization,,,2,88,-157.921982,126.285324,10,"#00d8ff"
2186,,Nature,,,organization,,,2,91,-1136.345581,-1242.476318,10,"#aad096"
2187,,Goethe-Universität Frankfurt,,,organization,,,2,137,185.901779,83.975258,10,"#37d911"
2188,,Scientific and Medical Network,,,organization,,,2,137,6.342402,69.937912,10,"#37d911"
2189,,Universität Erlangen-Nürnberg,,,organization,,,2,18,274.98468,51.501064,10,"#fab1b7"
2190,,Eberhard-Karls-Universität Tübingen,,,organization,,,2,61,167.653915,64.507393,10,"#ff7f1a"
2191,,Institut für Psychodrama und Aktionsmethoden,,,organization,,,2,18,520.769348,-50.073151,10,"#fab1b7"
2192,,University of Antwerp,,,organization,,,2,88,-371.569519,192.289139,10,"#00d8ff"
2193,,Vrije Universiteit Brussel (VUB),,,organization,,,2,88,-359.94223,214.474014,10,"#00d8ff"
2194,,Justus-Liebig-Universität Giessen,,,organization,,,2,18,355.756378,-41.917366,10,"#fab1b7"
2195,,August-Weihe Institut für homöopathische Medizin,,,organization,,,2,18,357.911285,-14.940897,10,"#fab1b7"
5001,,The Systems View of Life: A Unifying Vision,,,publication,,,2,137,-83.520828,28.573654,10,"#37d911"
5002,,The Reenchantment of the World,,,publication,,,2,137,-295.069855,47.370682,10,"#37d911"
5003,,Coming to Our Senses: Body and Spirit in the Hidden History of the West,,,publication,,,2,137,-288.669647,8.911252,10,"#37d911"
5004,,Wandering God: A Study in Nomadic Spirituality,,,publication,,,2,137,-292.052582,69.777412,10,"#37d911"
5005,,The Twilight of American Culture,,,publication,,,2,137,-279.30426,29.826763,10,"#37d911"
5006,,Dark Ages America: The Final Phase of Empire,,,publication,,,2,137,-318.958374,42.656582,10,"#37d911"
5007,,Quantum Theory,,,publication,,,2,137,-64.119896,39.017513,10,"#37d911"
5008,,Causality and Chance in Modern Physics,,,publication,,,2,137,-43.548512,31.492685,10,"#37d911"
5009,,"Quanta and Reality, A Symposium",,,publication,,,2,137,-51.994114,87.924973,10,"#37d911"
5010,,The Special Theory of Relativity,,,publication,,,2,137,-80.48513,73.150772,10,"#37d911"
5011,,Wholeness and the Implicate Order,,,publication,,,2,137,-62.025776,16.483366,10,"#37d911"
5012,,Unfolding Meaning: A weekend of dialogie with David Bohm,,,publication,,,2,137,-38.514694,10.096601,10,"#37d911"
5013,,The Ending of Time,,,publication,,,2,137,-20.653187,34.25967,10,"#37d911"
5014,,"Science, Order, and Creativity",,,publication,,,2,137,-98.705894,12.324801,10,"#37d911"
5015,,Meaning and Information in: The Search for Meaning: The New Spirit in Science and Philosophy,,,publication,,,2,137,-14.416091,58.273361,10,"#37d911"
5016,,"Changing Consciouness: Exploring the Hidden Source of the Social, Political and Environmental Crises Facing our World",,,publication,,,2,137,-84.018394,51.42099,10,"#37d911"
5017,,The Undivided Universe: An ontological interpretation of quantum theory,,,publication,,,2,137,-35.043697,51.638004,10,"#37d911"
5018,,Creating Alternative Futures: The End of Economics,,,publication,,,2,88,-213.738403,275.067566,10,"#00d8ff"
5019,,The Politics of the Solar Age,,,publication,,,2,88,-174.818588,283.031372,10,"#00d8ff"
5020,,"Redefining Wealth and Progress: New Ways to Measure Economic, Social, and Environmental Change : The Caracas Report on Alternative Development Indicators",,,publication,,,2,88,-226.794479,236.321579,10,"#00d8ff"
5021,,Paradigms in Progress,,,publication,,,2,88,-229.666153,259.064514,10,"#00d8ff"
5022,,Building a Win-Win World,,,publication,,,2,88,-196.534637,290.310455,10,"#00d8ff"
5023,,Wege in ein neues Bewusstsein: Skizzen zu einer neuen Welt,,,publication,,,2,33,-51.639935,206.196381,10,"#c5ae00"
5024,,Andere Wirklichkeiten. Die neue Konvergenz von Naturwissenschaften und spirituellen Traditionen,,,publication,,,2,137,-129.447952,124.46843,10,"#37d911"
5025,,Belonging to the Universe: Explorations on the Frontiers of Science and Spirituality,,,publication,,,2,33,-65.11216,186.438095,10,"#c5ae00"
5026,,"The Ground We Share: Everyday Practice, Buddhist and Christian",,,publication,,,2,33,-9.99471,193.744904,10,"#c5ae00"
5027,,Gaia. A Way of Knowing: Political Implications of the New Biology,,,publication,,,2,88,-229.584488,133.818573,10,"#00d8ff"
5028,,Gaia 2: Emergence: The New Science of Becoming,,,publication,,,2,88,-227.197723,106.638306,10,"#00d8ff"
5029,,Autopoiesis and Cognition: The realization of the living,,,publication,,,2,88,-270.918762,78.645645,10,"#00d8ff"
5030,,The Tree of Knowledge: A new look at the biological roots of human understanding,,,publication,,,2,88,-247.878174,79.25061,10,"#00d8ff"
5031,,The Embodied Mind: Cognitive cience and human experience,,,publication,,,2,88,-187.427673,18.668699,10,"#00d8ff"
5032,,Toward a Practice of Autonomous Systems: Proceedings of the First European Conference on Artificial Life,,,publication,,,2,88,-222.124985,36.881153,10,"#00d8ff"
5033,,The View from Within: First-person Approaches to the Study of Consciousness,,,publication,,,2,88,-210.356812,18.019625,10,"#00d8ff"
5034,,Naturalizing Phenomenology: Issues in Contemporary Phenomenology and Cognitive Science,,,publication,,,2,88,-201.650558,92.124733,10,"#00d8ff"
5035,,Angels Fear: Towards an Epistemology of the Sacred,,,publication,,,2,88,-218.368912,208.644745,10,"#00d8ff"
5036,,Der Pauli-Jung-Dialog und seine Bedeutung für die moderne Wissenschaft,,,publication,,,2,61,146.015717,-9.4344,10,"#ff7f1a"
5037,,Elementare Quantenchemie,,,publication,,,2,61,157.817169,-30.34511,10,"#ff7f1a"
5038,,"Imagination of an Insurrection, Dublin, Easter 1916: A Study of an Ideological Movement",,,publication,,,2,88,-252.461533,148.10788,10,"#00d8ff"
5039,,Passages about Earth: An Exploration of the New Planetary Culture,,,publication,,,2,88,-252.638809,170.923569,10,"#00d8ff"
5040,,The Time Falling Bodies Take to Light,,,publication,,,2,88,-231.85968,158.450562,10,"#00d8ff"
5041,,Blue Jade from the Morning Star: An Essay and a Cycle of Poems on Quatzalcoatl,,,publication,,,2,88,-211.522949,169.408524,10,"#00d8ff"
5042,,Yoga and the Jesus Prayer Tradition: An Experiment in Faith,,,publication,,,2,33,-38.881298,278.707764,10,"#c5ae00"
5043,,Self-Production of Supramolecular Structures: From Synthetic Structures to Models of Minimal Living Systems,,,publication,,,2,0,-144.783798,-34.044338,10,"#72adff"
5044,,"Trialogues at the Edge of the West: Chaos, Creativity and the Resacralization fo the World",,,publication,,,2,137,-98.736382,86.282692,10,"#37d911"
5045,,"On Quanta,Mind and Matter: Hans Primas in Context",,,publication,,,2,61,106.109489,10.391815,10,"#ff7f1a"
5046,,Nutzniesser und Betroffene von Wissenschaften,,,publication,,,2,139,1384.96582,223.503891,10,"#c0c0c0"
5047,,Wissenschaft und Tradition,,,publication,,,2,140,975.571106,-1024.319092,10,"#c0c0c0"
5048,,Kunst und Wissenschaft,,,publication,,,2,141,1168.303711,835.545105,10,"#c0c0c0"
5049,,Grenzprobleme der Wissenschaften,,,publication,,,2,142,-1131.023315,-495.921021,10,"#c0c0c0"
5050,,"Leben mit den ""Acht Todsünden der zivilisierten Menschheit""?",,,publication,,,2,61,-5.814435,-87.243324,10,"#ff7f1a"
5051,,Annals Of Earth,,,publication,,,2,88,-203.141983,115.937386,10,"#00d8ff"
5052,,GAIA- Ecological Perspectives for Science and Society,,,publication,,,2,61,160.747787,-85.369141,10,"#ff7f1a"
5053,,Umdenken in der Naturwissenschaft,,,publication,,,2,61,133.721497,-33.59935,10,"#ff7f1a"
6030,,Concepts on the Move,,,event,,,2,143,1295.532959,-5.946933,10,"#c0c0c0"
6031,,"Andere Wirklichkeiten: Die Konvergenz neuer Naturwissenschaften
und alter spiritueller Traditionen.",,,event,,,2,137,-125.365685,94.222031,10,"#37d911"
6032,,Human Unity Conference,,,event,,,2,137,-33.902367,100.538231,10,"#37d911"
6033,,Mind/Body Dualism Conference,,,event,,,2,88,-143.580704,153.906342,10,"#00d8ff"
6034,,Mind and Life 1,,,event,,,2,88,-137.67189,8.567646,10,"#00d8ff"
6035,,Mind and Life 2,,,event,,,2,144,1157.741699,982.132385,10,"#c0c0c0"
6036,,Mind and Life 3,,,event,,,2,88,-240.731827,22.892157,10,"#00d8ff"
6037,,Mind and Life 4,,,event,,,2,88,-162.72345,57.774994,10,"#00d8ff"
6038,,Mind and Life 5,,,event,,,2,145,463.650421,1386.669189,10,"#c0c0c0"
6039,,Mind and Life 6,,,event,,,2,146,-1018.193176,1043.794312,10,"#c0c0c0"
6040,,Mind and Life 7,,,event,,,2,147,-612.316223,-1213.316284,10,"#c0c0c0"
6041,,Mind and Life 8,,,event,,,2,148,391.032593,-1345.274414,10,"#c0c0c0"
6042,,Mind and Life 9,,,event,,,2,149,1393.568237,-330.300293,10,"#c0c0c0"
6043,,Mind and Life 10,,,event,,,2,150,-1345.165894,541.373474,10,"#c0c0c0"
6044,,Mind in Nature,,,event,,,2,88,-181.334854,129.683731,10,"#00d8ff"
6045,,Planetary Culture and the New Image of Humanity,,,event,,,2,151,249.279068,-1390.256958,10,"#c0c0c0"
6046,,Conscious Evolution and the Evolution of Consciousness,,,event,,,2,152,-1143.555054,674.643311,10,"#c0c0c0"
6047,,A Light Governance for America: the Cultures and Strategies of Decentralization,,,event,,,2,153,1227.11499,-507.520172,10,"#c0c0c0"
6048,,Das Irrationale in den Naturwissenschaften: Wolfgang Paulis Begegnung mit dem Geist der Materie,,,event,,,2,61,110.649338,-21.430878,10,"#ff7f1a"
6049,,Additional research,,,event,,,2,154,-1046.289185,909.738159,10,"#c0c0c0"
6050,,Mystics and Scientists,,,event,,,2,137,-54.188122,115.876373,10,"#37d911"
